hgnc_id,gene,pubmed_hits,pubmed_query,as_of
HGNC:13709,DEGS1,211,"(""DEGS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11350,DENND2B,6,"(""DENND2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19344,DENND5A,10,"(""DENND5A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28338,DENND5B,12,"(""DENND5B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18423,DEPDC5,179,"(""DEPDC5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2859,DHCR24,201,"(""DHCR24""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20603,DHDDS,43,"(""DHDDS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2861,DHFR,2195,"(""DHFR""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2869,DHPS,774,"(""DHPS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2739,DHX16,20,"(""DHX16""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16716,DHX30,27,"(""DHX30""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2750,DHX9,226,"(""DHX9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2876,DIAPH1,153,"(""DIAPH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29150,DIP2C,38,"(""DIP2C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2903,DLG4,111,"(""DLG4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2908,DLL1,336,"(""DLL1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13908,DMRTA2,13,"(""DMRTA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2938,DMXL2,32,"(""DMXL2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2945,DNAH14,18,"(""DNAH14""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16235,DNAJC5,47,"(""DNAJC5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15469,DNAJC6,76,"(""DNAJC6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2972,DNM1,103,"(""DNM1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2973,DNM1L,166,"(""DNM1L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2978,DNMT3A,3180,"(""DNMT3A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19190,DOCK7,57,"(""DOCK7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28662,DOHH,88,"(""DOHH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23406,DOLK,24,"(""DOLK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2995,DPAGT1,76,"(""DPAGT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3005,DPM1,52,"(""DPM1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3006,DPM2,38,"(""DPM2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3007,DPM3,25,"(""DPM3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3012,DPYD,707,"(""DPYD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17904,DROSHA,841,"(""DROSHA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2961,DYNC1H1,121,"(""DYNC1H1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2962,DYNC2H1,95,"(""DYNC2H1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3091,DYRK1A,699,"(""DYRK1A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29419,EARS2,33,"(""EARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3151,ECHS1,114,"(""ECHS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3153,ECM1,280,"(""ECM1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3188,EED,1148,"(""EED""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3192,EEF1A2,184,"(""EEF1A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3208,EEF1B2,24,"(""EEF1B2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:30858,EFTUD2,103,"(""EFTUD2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24650,EHMT1,190,"(""EHMT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:9437,EIF2AK2,130,"(""EIF2AK2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3257,EIF2B1,49,"(""EIF2B1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3258,EIF2B2,45,"(""EIF2B2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3259,EIF2B3,34,"(""EIF2B3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3260,EIF2B4,24,"(""EIF2B4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3261,EIF2B5,88,"(""EIF2B5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3267,EIF2S3,38,"(""EIF2S3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3275,EIF3F,64,"(""EIF3F""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3284,EIF4A2,64,"(""EIF4A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14415,ELOVL4,154,"(""ELOVL4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28957,EMC1,23,"(""EMC1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:27609,EMC10,17,"(""EMC10""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3330,EML1,32,"(""EML1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3372,EOMES,503,"(""EOMES""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11958,EP400,69,"(""EP400""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3380,EPB41L3,94,"(""EPB41L3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29331,EPG5,71,"(""EPG5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3413,EPM2A,153,"(""EPM2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21056,ERMARD,4,"(""ERMARD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17474,ESAM,87,"(""ESAM""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23287,ETHE1,74,"(""ETHE1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23214,EXOC7,23,"(""EXOC7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17944,EXOSC3,54,"(""EXOSC3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3513,EXT2,344,"(""EXT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21197,FA2H,122,"(""FA2H""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19829,FAM177A1,10,"(""FAM177A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26222,FAR1,48,"(""FAR1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21062,FARS2,38,"(""FARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29160,FASTKD2,29,"(""FASTKD2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13601,FBXL4,56,"(""FBXL4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13590,FBXO11,101,"(""FBXO11""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29046,FBXO28,28,"(""FBXO28""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16712,FBXW7,1065,"(""FBXW7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29500,FCSK,9,"(""FCSK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3629,FDFT1,127,"(""FDFT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3668,FGF12,116,"(""FGF12""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3670,FGF13,125,"(""FGF13""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3690,FGFR3,2726,"(""FGFR3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3700,FH,8742,"(""FH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16873,FIG4,111,"(""FIG4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17997,FKRP,234,"(""FKRP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3622,FKTN,80,"(""FKTN""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3754,FLNA,670,"(""FLNA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24682,FLVCR1,90,"(""FLVCR1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3791,FOLR1,251,"(""FOLR1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3811,FOXG1,308,"(""FOXG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:3823,FOXP1,654,"(""FOXP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26927,FOXRED1,17,"(""FOXRED1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1162,FRA10AC1,8,"(""FRA10AC1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28214,FRMD5,14,"(""FRMD5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1362,FRRS1L,11,"(""FRRS1L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29127,FRYL,14,"(""FRYL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13753,FSD1L,9,"(""FSD1L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4006,FUCA1,83,"(""FUCA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4019,FUT8,271,"(""FUT8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24824,FZR1,47,"(""FZR1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4507,GABBR2,80,"(""GABBR2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4075,GABRA1,188,"(""GABRA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4076,GABRA2,175,"(""GABRA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4077,GABRA3,77,"(""GABRA3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4078,GABRA4,56,"(""GABRA4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4079,GABRA5,107,"(""GABRA5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4081,GABRB1,66,"(""GABRB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4082,GABRB2,106,"(""GABRB2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4083,GABRB3,285,"(""GABRB3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4084,GABRD,71,"(""GABRD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4087,GABRG2,264,"(""GABRG2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4092,GAD1,241,"(""GAD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4115,GALC,425,"(""GALC""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4124,GALNT2,106,"(""GALNT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4136,GAMT,184,"(""GAMT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:30778,GATAD2B,40,"(""GATAD2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4175,GATM,119,"(""GATM""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4177,GBA1,577,"(""GBA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4189,GCDH,165,"(""GCDH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4193,GCH1,482,"(""GCH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4208,GCSH,91,"(""GCSH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4235,GFAP,8307,"(""GFAP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13780,GFM1,23,"(""GFM1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4298,GLB1,179,"(""GLB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4313,GLDC,134,"(""GLDC""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4319,GLI3,607,"(""GLI3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4331,GLS,4026,"(""GLS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4335,GLUD1,249,"(""GLUD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4341,GLUL,160,"(""GLUL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24247,GLYCTK,10,"(""GLYCTK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4367,GM2A,51,"(""GM2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:22923,GMPPA,15,"(""GMPPA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:22932,GMPPB,79,"(""GMPPB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4384,GNAI1,64,"(""GNAI1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4389,GNAO1,156,"(""GNAO1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4396,GNB1,99,"(""GNB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4401,GNB5,47,"(""GNB5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4431,GOSR2,41,"(""GOSR2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4433,GOT2,111,"(""GOT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4446,GPAA1,34,"(""GPAA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15465,GPHN,45,"(""GPHN""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29501,GPSM2,50,"(""GPSM2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18062,GPT2,132,"(""GPT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4571,GRIA1,118,"(""GRIA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4572,GRIA2,111,"(""GRIA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4573,GRIA3,98,"(""GRIA3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4574,GRIA4,69,"(""GRIA4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4580,GRIK2,127,"(""GRIK2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4584,GRIN1,193,"(""GRIN1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4585,GRIN2A,346,"(""GRIN2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4586,GRIN2B,386,"(""GRIN2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4588,GRIN2D,67,"(""GRIN2D""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4599,GRM7,127,"(""GRM7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4601,GRN,1393,"(""GRN""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4622,GSPT2,21,"(""GSPT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4624,GSS,1514,"(""GSS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4666,GTF3C3,6,"(""GTF3C3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4670,GTPBP2,20,"(""GTPBP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14880,GTPBP3,32,"(""GTPBP3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4764,H3-3A,53,"(""H3-3A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4765,H3-3B,20,"(""H3-3B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21033,HACE1,100,"(""HACE1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16915,HAX1,259,"(""HAX1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4837,HCCS,6020,"(""HCCS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4839,HCFC1,65,"(""HCFC1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4845,HCN1,259,"(""HCN1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4846,HCN2,257,"(""HCN2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4854,HDAC3,1285,"(""HDAC3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13315,HDAC8,590,"(""HDAC8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20157,HECTD1,48,"(""HECTD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29853,HECW2,53,"(""HECW2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26361,HEPACAM,60,"(""HEPACAM""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4868,HERC2,229,"(""HERC2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4878,HEXA,1360,"(""HEXA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4879,HEXB,233,"(""HEXB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15736,HID1,18,"(""HID1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4921,HIVEP2,33,"(""HIVEP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4922,HK1,559,"(""HK1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4976,HLCS,448,"(""HLCS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5005,HMGCL,48,"(""HMGCL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5041,HNRNPH1,93,"(""HNRNPH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5042,HNRNPH2,34,"(""HNRNPH2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5044,HNRNPK,310,"(""HNRNPK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5047,HNRNPR,35,"(""HNRNPR""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5048,HNRNPU,183,"(""HNRNPU""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5099,HOXA1,267,"(""HOXA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28242,HPDL,247,"(""HPDL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5157,HPRT1,380,"(""HPRT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5173,HRAS,3896,"(""HRAS""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5213,HSD17B4,106,"(""HSD17B4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5261,HSPD1,171,"(""HSPD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14348,HTRA2,460,"(""HTRA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:4851,HTT,3086,"(""HTT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29685,IARS2,28,"(""IARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:27302,IBA57,38,"(""IBA57""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5383,IDH2,1772,"(""IDH2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18550,IER3IP1,24,"(""IER3IP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18873,IFIH1,426,"(""IFIH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5961,IKBKG,199,"(""IKBKG""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26052,INTS11,26,"(""INTS11""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26048,INTS8,15,"(""INTS8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29059,IQSEC2,78,"(""IQSEC2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14282,IRF2BPL,42,"(""IRF2BPL""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28660,ISCA1,31,"(""ISCA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6158,ITGB4,293,"(""ITGB4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6176,ITPA,410,"(""ITPA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6196,JARID2,157,"(""JARID2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20184,JKAMP,3,"(""JKAMP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:12313,JMJD1C,94,"(""JMJD1C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24565,KANSL1,124,"(""KANSL1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6215,KARS1,14,"(""KARS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:5275,KAT5,118,"(""KAT5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13013,KAT6A,185,"(""KAT6A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:17933,KAT8,103,"(""KAT8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6217,KATNB1,17,"(""KATNB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6218,KCNA1,162,"(""KCNA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6220,KCNA2,91,"(""KCNA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6221,KCNA3,47,"(""KCNA3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6225,KCNA6,16,"(""KCNA6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6231,KCNB1,97,"(""KCNB1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6232,KCNB2,27,"(""KCNB2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6233,KCNC1,42,"(""KCNC1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6234,KCNC2,21,"(""KCNC2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6237,KCND1,10,"(""KCND1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6238,KCND2,57,"(""KCND2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6239,KCND3,99,"(""KCND3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6250,KCNH1,69,"(""KCNH1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6254,KCNH5,24,"(""KCNH5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18863,KCNH7,18,"(""KCNH7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6256,KCNJ10,154,"(""KCNJ10""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6257,KCNJ11,913,"(""KCNJ11""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6279,KCNK4,24,"(""KCNK4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6284,KCNMA1,214,"(""KCNMA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6291,KCNN2,49,"(""KCNN2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6296,KCNQ2,640,"(""KCNQ2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6297,KCNQ3,266,"(""KCNQ3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6299,KCNQ5,115,"(""KCNQ5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18865,KCNT1,183,"(""KCNT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18866,KCNT2,26,"(""KCNT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21305,KCTD3,8,"(""KCTD3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21957,KCTD7,36,"(""KCTD7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13606,KDM2A,109,"(""KDM2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13610,KDM2B,132,"(""KDM2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29136,KDM4B,122,"(""KDM4B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:9886,KDM5A,204,"(""KDM5A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11114,KDM5C,228,"(""KDM5C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:12637,KDM6A,551,"(""KDM6A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:26517,KICS2,1,"(""KICS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:888,KIF1A,210,"(""KIF1A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6318,KIF2A,112,"(""KIF2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6323,KIF5A,181,"(""KIF5A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6324,KIF5B,319,"(""KIF5B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6325,KIF5C,60,"(""KIF5C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:23419,KIFBP,3,"(""KIFBP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25056,KLHL20,26,"(""KLHL20""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
