gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
PNKP,Foundation-hosted,PNKP Disease Foundation,,platform description,,
PNKP,Academic study,,,platform description,,
PNKP,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
PPT1,Foundation-hosted,DEM-CHILD; BDSRA registry; Taylors Tale,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
PPT1,REDCap,DEM-CHILD,,platform description,,
PPT1,Sanford CoRDS,,,platform description,recorded under: Infantile neuronal ceroid lipofuscinosis,https://research.sanfordhealth.org/rare-disease-registry
PRRT2,REDCap,Heidelberg international cohort,,platform description,,
PRRT2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
PTEN,ClinicalTrials.gov,"PTEN Foundation IRB-approved registry & biorepository; NCT06462430, Yale",https://clinicaltrials.gov/study/NCT06462430,registry URL host,,
PTEN,Sanford CoRDS,,,platform description,recorded under: PTEN hamartoma tumor syndrome,https://research.sanfordhealth.org/rare-disease-registry
SLC2A1,Foundation-hosted,Glut1 Deficiency Foundation Patient Registry,https://www.g1dfoundation.org/natural-history-study/,own website,,
