gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
SZT2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
UBA5,Academic study,,,platform description,,
UBA5,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
UNC80,Academic study,,,platform description,,
UNC80,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
VPS13A,Foundation-hosted,NA Advocacy registry,,platform description,,
VPS13A,Academic study,,,platform description,,
VPS13A,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ASXL2,Foundation-hosted,ASXL natural history study and biobank,https://arrefoundation.org/research/asxl-related-disorders-natural-history-study-and-biobank/,own website,,
ASXL3,Foundation-hosted,ASXL3 natural history study and biobank,https://arrefoundation.org/study/simons-searchlight-asxl3-registry/,own website,,
CUL3,Foundation-hosted,CUL3 research participation (Simons Searchlight),https://www.cul3.org/participate-in-research,own website,,
CYFIP2,Foundation-hosted,CYFIP2 registry (Take Action),https://www.cyfip2network.org/take-action,own website,,
DHDDS,Foundation-hosted,DHDDS patient registry (CoRDS / Sanford Research),https://www.curedhdds.org/patient-registry/,own website,,
DYNC1H1,Foundation-hosted,DYNC1H1 registry,https://www.dync1h1.org/registry,own website,,
FAM177A1,Foundation-hosted,FAM177A1 data collection (RARE-X),https://www.fam177a1.org/fam177a1-patient-data-collection,own website,,
HNRNPH2,Foundation-hosted,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,own website,,
HNRNPK,Foundation-hosted,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,own website,,
HNRNPR,Foundation-hosted,HNRNP natural history study (Geneial),https://hnrnp.org/natural-history-study,own website,,
NALCN,Foundation-hosted,NALCN registry (CRID,https://www.channelinghope.org/patient-research/,own website,,
NR4A2,Citizen Health,NR4A2 data platform (Citizen Health),https://www.citizen.health/ai-advocate/curenurr1,registry URL host,,https://www.citizen.health/
NUS1,Foundation-hosted,NUS1 Foundation Patient Registry,https://www.nus1foundation.org/patientregistry,own website,,
