org_name,gene,url,coalition,as_of,org_scope,source_note
Dup15q Alliance,UBE3A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
DYNC1H1 Association,DYNC1H1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
DYRK1A Syndrome US & International Association,DYRK1A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Epilepsy Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
FAM177A1 Research Fund,FAM177A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
FamilieSCN2A Foundation,SCN2A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
FBXO28 Research Foundation,FBXO28,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Finding Hope for FRRS1L,FRRS1L,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Foundation for Angelman Syndrome Therapeutics (FAST),UBE3A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Foundation for USP7 Related Diseases (Hao-Fountain Syndrome),USP7,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
FOXG1 Research Foundation,FOXG1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Fundacion de Hemisferctomia FundHemi,,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Fundacion Libellas (Gene NALCN and UNC80),NALCN;UNC80,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
GABA-A Alliance,GABRA1;GABRB2;GABRB3;GABRG2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Genetic Epilepsy Team Australia/SCN2A Aust/NZ/Asia,SCN2A,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Glut1 Deficiency Foundation (SLC2A1),SLC2A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Glut1Deficiency UK* (SLC2A1),SLC2A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
GNB1 Advocacy Group,GNB1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Gould Syndrome Foundation (COL4A1/A2),COL4A1;COL4A2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Grin2b Foundation,GRIN2B,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
HNRNP Family Foundation,HNRNPU;HNRNPH2;HNRNPK;HNRNPR;HNRNPC;HNRNPD,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Hope for Annabel,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Hope for HIE,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Hope for Hypothalamic Hamartomas,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Hope for ULD,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
IDefine-The Kleefstra Syndrome Foundation,EHMT1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
International Foundation for CDKL5 Research,CDKL5,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
International SCN8A Alliance,SCN8A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"Jordan's Guardian Angels (Jordan's Syndrome - PPP2R5D, PPP2R1A, PPP2R5C)",PPP2R5D;PPP2R1A;PPP2R5C,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KARES Foundation  (KDM5C),KDM5C,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KCNA2 Epilepsy Global Alliance,KCNA2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KCNQ2 Cure Alliance,KCNQ2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KCNQ2 e.V.,KCNQ2,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
KCNQ3 Parent / Caregiver Support and Discussion Group,KCNQ3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KCNT1 Epilepsy Foundation,KCNT1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KIF1A,KIF1A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Koolen-de Vries Syndrome Foundation,KANSL1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
KPTN Alliance,KPTN,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
LGS Foundation (LGS),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Life Association for Rare Diseases in Children,,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
