# One row per (organisation, gene) from the organisation sources, deduplicated on normalised website host.
# status=candidate throughout: nothing here has been reviewed, and curated/organizations.csv is untouched.
org_name,symbol,hgnc_id,url,country,org_type,registry_platform,coalitions,source_files,status
Association for Creatine Deficiencies,GAMT,HGNC:4136,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Creatine Deficiencies,GATM,HGNC:4175,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Creatine Deficiencies,SLC6A8,HGNC:11055,,,,,,sources/ren_members/ren_members.csv,candidate
Association for Frontotemporal Degeneration,GRN,HGNC:4601,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BAGOS Foundation,SYT1,HGNC:11509,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN5,HGNC:2076,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN6,HGNC:2077,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDFA,CLN8,HGNC:2079,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,CLN5,HGNC:2076,,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,CLN6,HGNC:2077,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,CLN8,HGNC:2079,,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BDSRA,KCTD7,HGNC:21957,https://bdsra.org,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
BPAN Warriors,WDR45,HGNC:28912,,,,,,sources/ren_members/ren_members.csv,candidate
BPAN Warriors,WDR45,HGNC:28912,https://www.bpanwarriors.org/,US,foundation,,REN,rela_2019.csv,candidate
BPAN Warriors,WDR45,HGNC:28912,https://www.nbiadisorders.org/,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Bainbridge-Ropers Syndrome and ASXL3 Families,ASXL3,HGNC:29357,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),CLN3,HGNC:2074,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),CLN5,HGNC:2076,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),CLN6,HGNC:2077,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),CLN8,HGNC:2079,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),GRN,HGNC:4601,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),KCTD7,HGNC:21957,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),MFSD8,HGNC:28486,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),PPT1,HGNC:9325,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support & Research Association (BDSRA)(CLN1-CLN14),TPP1,HGNC:2073,,,,,,sources/ren_members/ren_members.csv,candidate
Batten Disease Support and Research Association,CLN3,HGNC:2074,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Batten Disease Support and Research Association,CLN5,HGNC:2076,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv,candidate
Batten Disease Support and Research Association,CLN6,HGNC:2077,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Batten Disease Support and Research Association,CLN8,HGNC:2079,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv,candidate
Batten Disease Support and Research Association,MFSD8,HGNC:28486,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv,candidate
Batten Disease Support and Research Association,PPT1,HGNC:9325,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Batten Disease Support and Research Association,TPP1,HGNC:2073,https://www.bdsra.org,US,foundation,,REN,rela_2019.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Batten umbrella for CLN11,GRN,HGNC:4601,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Beta Spectrin Foundation (SPTBN1),SPTBN1,HGNC:11275,,,,,,sources/ren_members/ren_members.csv,candidate
Beyond Batten,CLN5,HGNC:2076,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Beyond Batten,CLN6,HGNC:2077,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Beyond Batten,CLN8,HGNC:2079,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Beyond Batten,PPT1,HGNC:9325,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Beyond Batten,TPP1,HGNC:2073,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
