# Epilepsy and NDD gene list, written by gene_spine.epilepsy_list after the spine
# build. Union of three branches:
#   epilepsy / both : on Genes4Epilepsy ('both' also on an NDD source)
#   ndd_only        : on an NDD or ID source, not on Genes4Epilepsy
#   epilepsy_other  : on an epilepsy panel, or ClinGen or Orphadata naming epilepsy,
#                     seizures or encephalopathy, and in neither branch above
# tier and domain are the spine's own values, carried as description, not selection.
# NDD/ID sources: panelapp_au_id, panelapp_ge_id, sysndd, g2p_dd, sfari.
# Declared but absent: none.
# SFARI: 2026-07-12 release, exported 2026-09-16. Its unscored rows count as presence and lift no tier.
# genes4epilepsy_phenotype is blank for genes that are not on Genes4Epilepsy.
# mondo_ids from sources/mondo/mondo.obo sha256 50c8367f9bd99783, 10,491 ORPHA and 10,176 OMIM xrefs.
# org_count and org_names come from epilepsy_orgs.csv, blank where there is no match.
hgnc_id,symbol,gene_name,list_membership,genes4epilepsy_phenotype,tier,domain,n_sources,sources,orphacodes,omim_id,mondo_ids,org_count,org_names
HGNC:4512,ADGRG1,adhesion G protein-coupled receptor G1,both,MCD,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,101070;98889,604110,MONDO:0011738;MONDO:0020340,0,
HGNC:20973,ADGRL1,adhesion G protein-coupled receptor L1,both,DEE,T1,ndd_with_epilepsy,9,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,528084,616416,MONDO:0100038,0,
HGNC:15766,ADNP,activity dependent neuroprotector homeobox,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sfari;sysndd,404448;700160,611386,MONDO:0014379;MONDO:0979360,3,ADNP Kids Foundation; ADNP Kids Research Foundation; COMBINEDBrain
HGNC:21304,ADPRS,ADP-ribosylserine hydrolase,both,DEE,T1,ndd_with_epilepsy,7,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,694922,610624,MONDO:0100095,0,
HGNC:291,ADSL,adenylosuccinate lyase,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,46,608222,MONDO:0007068,0,
HGNC:6473,AFF3,ALF transcription elongation factor 3,both,DEE,T1,ndd_with_epilepsy,8,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,632603,601464,MONDO:0858998,0,
HGNC:18119,AFG2A,AAA ATPase AFG2A,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,457351,613940,MONDO:0014698,0,
HGNC:28762,AFG2B,AAA ATPase AFG2B,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,659975;90636,619578,MONDO:0019588;MONDO:0859206,0,
HGNC:315,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,both,PME,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,101109;313772,604581,MONDO:0012450;MONDO:0013776,0,
HGNC:318,AGA,aspartylglucosaminidase,both,DEE,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,93,613228,MONDO:0008830,0,
HGNC:33784,AGMO,alkylglycerol monooxygenase,both,DEE,T1,ndd_with_epilepsy,7,genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,,613738,,0,
HGNC:3262,AGO1,argonaute RISC component 1,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,528084,606228,MONDO:0100038,1,AGO Alliance
HGNC:25230,AHDC1,AT-hook DNA binding motif containing 1,both,DEE,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd,412069,615790,MONDO:0014358,1,Xia-Gibbs Society
