source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
panelapp_au_epilepsy,TCEAL1,HGNC:11616,Amber,"Neurodevelopmental disorder with gait disturbance, dysmorphic facies and behavioral abnormalities, X-linked, MIM# 301094","{""moi"": ""X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11616,id
panelapp_au_epilepsy,TCF4,HGNC:11634,Green,"Pitt-Hopkins syndrome, MIM# 610954","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11634,id
panelapp_au_epilepsy,TCP1,HGNC:11655,Green,"Intellectual developmental disorder with polymicrogyria and seizures, MIM# 621021","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11655,id
panelapp_au_epilepsy,TDP2,HGNC:17768,Green,"Spinocerebellar ataxia, autosomal recessive 23, 616949","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17768,id
panelapp_au_epilepsy,TEFM,HGNC:26223,Green,"Combined oxidative phosphorylation deficiency 58, MIM# 620451","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:26223,id
panelapp_au_epilepsy,TET3,HGNC:28313,Green,Beck-Fahrner syndrome MIM#618798,"{""moi"": ""BOTH monoallelic and biallelic, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:28313,id
panelapp_au_epilepsy,TFE3,HGNC:11752,Green,"Intellectual developmental disorder, X-linked, syndromic, with pigmentary mosaicism and coarse facies, MIM# 301066; Intellectual disability; Epilepsy; Coarse facial features","{""moi"": ""X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11752,id
panelapp_au_epilepsy,TGIF1,HGNC:11776,Red,Holoprosencephaly 4 MIM#142946,"{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11776,id
panelapp_au_epilepsy,THAP12,HGNC:9440,Red,"Neurodevelopmental disorder, MONDO:0700092, THAP12-related","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:9440,id
panelapp_au_epilepsy,THG1L,HGNC:26053,Amber,"Spinocerebellar ataxia, autosomal recessive 28 - 618800; Epilepsy; Intellectual disability","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:26053,id
panelapp_au_epilepsy,THOC2,HGNC:19073,Amber,"Intellectual developmental disorder, X-linked 12 MIM#300957","{""moi"": ""X-LINKED: hemizygous mutation in males, biallelic mutations in females"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:19073,id
panelapp_au_epilepsy,TIAM1,HGNC:11805,Green,"Neurodevelopmental disorder with language delay and seizures, MIM# 619908","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11805,id
