hgnc_id,symbol,gene_name,tier,domain,disputed,disputed_note,n_sources,sources,orphacodes,synonyms,omim_id,ensembl_gene_id,locus_group,ev_clingen,ev_g2p_dd,ev_orphadata_genes,ev_panelapp_au_epilepsy,ev_panelapp_au_id,ev_panelapp_ge_epilepsy,ev_panelapp_ge_id,ev_sfari,ev_sysndd,on_clingen,on_g2p_dd,on_genes4epilepsy,on_orphadata_genes,on_panelapp_au_epilepsy,on_panelapp_au_id,on_panelapp_ge_epilepsy,on_panelapp_ge_id,on_sfari,on_sysndd,pheno_clingen,pheno_g2p_dd,pheno_genes4epilepsy,pheno_panelapp_au_epilepsy,pheno_panelapp_au_id,pheno_panelapp_ge_epilepsy,pheno_panelapp_ge_id,simons_on_list,simons_list_version,simons_page_url,simons_report_url,on_simons_gene_list,el_tier,disorder,el_foundation,el_foundation_url,el_registry,el_registry_url,el_platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,on_epilepsylive_pag,gene_family,opathy,opathy_basis,on_opathy,pubmed_hits,pubmed_query,pubmed_as_of,on_pubmed_gene_counts,registries
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,T1,ndd_with_epilepsy,True,clingen: Disputed,7,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,130;1517;154;334;726782;728619,SUR2;CMD1O,601439,ENSG00000069431,protein-coding gene,Definitive;Disputed;Limited,definitive;moderate,Assessed;Not yet assessed,,Green,,Green,,Definitive,True,True,True,True,False,True,False,True,False,True,Brugada syndrome; dilated cardiomyopathy 1O; hypertrichotic osteochondrodysplasia Cantu type,"ABCC9-related Cantu Syndrome; ABCC9-related intellectual disability, myopathy and white matter abnormalities",DEE,,"Intellectual disability and myopathy syndrome, MIM# 619719; Hypertrichotic osteochondrodysplasia, MIM# 239850 Cantu syndrome",,"Intellectual disability and myopathy syndrome, OMIM:619719; intellectual disability and myopathy syndrome, MONDO:0859224",,,,,False,,,,,,,,,,,,,False,,,,False,134,"(""ABCC9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,139396;139399;369942;388,ALD;AMN;ALDP;adrenoleukodystrophy,300371,ENSG00000101986,protein-coding gene,Definitive,definitive,Assessed,,Green,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,adrenoleukodystrophy,ABCD1-related adrenoleukodystrophy,,,"Adrenoleukodystrophy, MIM# 300100",,"Adrenoleukodystrophy, OMIM:300100; Adrenoleukodystrophy, adult, OMIM:300100",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:68,ABCD4,ATP binding cassette subfamily D member 4,T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,369955,PXMP1L;PMP69;P70R;EST352188,603214,ENSG00000119688,protein-coding gene,Moderate,strong,Assessed,,Green,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,"methylmalonic acidemia with homocystinuria, type cblJ","ABCD4-related methylmalonic aciduria and homocystinuria, cblJ type",,,"Methylmalonic aciduria and homocystinuria, cblJ type, MIM# 614857",,"Methylmalonic aciduria and homocystinuria, cblJ type, 614857; METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE; MAHCJ",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:13886,ABCG5,ATP binding cassette subfamily G member 5,T1,ndd_no_documented_epilepsy,False,,4,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id,2882;391665,STSL,605459,ENSG00000138075,protein-coding gene,Definitive,,Assessed;Not yet assessed,,Red,,Red,,,True,False,False,True,False,True,False,True,False,False,sitosterolemia,,,,"Sitosterolemia 2, MIM#618666",,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:15868,ABHD12,"abhydrolase domain containing 12, lysophospholipase",T1,ndd_no_documented_epilepsy,False,,3,clingen;orphadata_genes;panelapp_ge_id,171848,C20orf22;DKFZP434P106;dJ965G21.2;BEM46L2;ABHD12A,613599,ENSG00000100997,protein-coding gene,Definitive,,Assessed,,,,Red,,,True,False,False,True,False,False,False,True,False,False,PHARC syndrome,,,,,,"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:13921,ABHD16A,"abhydrolase domain containing 16A, phospholipase",T1,ndd_with_epilepsy,False,,7,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,631085,BAT5;NG26;D6S82E,142620,ENSG00000204427,protein-coding gene,,strong,Assessed,Amber,Green,,Green,,Definitive,False,True,True,True,True,True,False,True,False,True,,"ABHD16A-related spastic paraplegia, intellectual disability and thin corpus callosum",DEE,"Spastic paraplegia 86, autosomal recessive, MIM# 619735; seizures; myoclonic seizures; developmental delay","Spastic paraplegia 86, autosomal recessive, MIM# 619735; Intellectual Disability; Corpus callosum abnormalities",,Spastic paraplegia; Intellectual disability,,,,,False,,,,,,,,,,,,,False,,,,False,15,"(""ABHD16A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:21396,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,98907,CGI-58;NCIE2,604780,ENSG00000011198,protein-coding gene,Definitive,definitive,Assessed,,Green,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,Dorfman-Chanarin disease,ABHD5-related ichthyotic neutral lipid storage disease,,,Chanarin-Dorfman syndrome MIM#275630; neutral lipid storage disease with ichthyosis; non-bullous congenital ichthyosiform erythroderma,,"Chanarin-Dorfman syndrome, OMIM:275630",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:24011,ABI2,abl interactor 2,T1,ndd_with_epilepsy,False,,5,panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,,ABI-2;AIP-1;ABI2B;AblBP3;argBPIA;SSH3BP2,606442,ENSG00000138443,protein-coding gene,,,,Amber,Amber,Amber,Amber,,Definitive,False,False,False,False,True,True,True,True,False,True,,,,"Neurodevelopmental disorder, MONDO:0700092, ABI2-related","Neurodevelopmental disorder, MONDO:0700092, ABI2-related","neurodevelopmental disorder, MONDO:0700092","intellectual disability, MONDO:0001071; neurodevelopmental disorder, MONDO:0700092",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:76,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",T1,ndd_no_documented_epilepsy,False,,3,g2p_dd;orphadata_genes;sysndd,521;585909;643503;99861,ABL;JTK7;c-ABL;p150,189980,ENSG00000097007,protein-coding gene,,strong,Assessed,,,,,,Limited,False,True,False,True,False,False,False,False,False,True,,ABL1-related congenital heart defects and skeletal malformations,,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:21497,ACAD9,acyl-CoA dehydrogenase family member 9,T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,99901,NPD002;MGC14452,611103,ENSG00000177646,protein-coding gene,Definitive,definitive,Assessed,,Green,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,acyl-CoA dehydrogenase 9 deficiency,ACAD9-related acyl-CoA dehydrogenase family member type 9 deficiency,,,"Mitochondrial complex I deficiency, nuclear type 20 MIM#611126",,"ACAD9 deficiency, 611126; ACYL-COA DEHYDROGENASE FAMILY MEMBER TYPE 9 DEFICIENCY",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:89,ACADM,acyl-CoA dehydrogenase medium chain,T1,ndd_no_documented_epilepsy,False,,5,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id,42,MCAD;MCADH;ACAD1,607008,ENSG00000117054,protein-coding gene,Definitive,definitive,Assessed,,Green,,Green,,,True,True,False,True,False,True,False,True,False,False,medium chain acyl-CoA dehydrogenase deficiency,ACADM-related medium chain acyl-CoA dehydrogenase deficiency,,,"Acyl-CoA dehydrogenase, medium chain, deficiency of, MIM# 201450",,MEDIUM CHAIN ACYL-COENZYME A DEHYDROGENASE DEFICIENCY,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:90,ACADS,acyl-CoA dehydrogenase short chain,T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,26792,SCAD;ACAD3,606885,ENSG00000122971,protein-coding gene,Definitive,definitive,Assessed,,Amber,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,short chain acyl-CoA dehydrogenase deficiency,ACADS-related short chain acyl-CoA dehydrogenase deficiency,,,"Acyl-CoA dehydrogenase, short-chain, deficiency of, MIM# 201470",,"Acyl-CoA dehydrogenase, short-chain, deficiency of  201470",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:91,ACADSB,acyl-CoA dehydrogenase short/branched chain,T1,ndd_no_documented_epilepsy,False,,5,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,79157,SBCAD;ACAD7,600301,ENSG00000196177,protein-coding gene,Definitive,,Assessed,,Amber,,Amber,,Limited,True,False,False,True,False,True,False,True,False,True,2-methylbutyryl-CoA dehydrogenase deficiency,,,,"2-methylbutyrylglycinuria, MIM# 610006",,"2-methylbutyrylglycinuria, 610006",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
