name,group,condition_page_url,latest_report_url
DYNC1H1,Gene,https://www.simonssearchlight.org/research/what-we-study/dync1h1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115357/DYNC1H1-25Q3.pdf
DYRK1A,Gene,https://www.simonssearchlight.org/research/what-we-study/dyrk1a/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115426/DYRK1A-25Q3.pdf
EHMT1,Gene,https://www.simonssearchlight.org/research/what-we-study/ehmt1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115416/EHMT1-25Q3.pdf
EIF3F,Gene,https://www.simonssearchlight.org/research/what-we-study/eif3f/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115420/EIF3F-25Q3.pdf
EP300,Gene,https://www.simonssearchlight.org/research/what-we-study/ep300/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115507/EP300-25Q3.pdf
FBXO11,Gene,https://www.simonssearchlight.org/research/what-we-study/fbxo11/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/07/22033610/FBXO11-25Q2.pdf
FOXP1,Gene,https://www.simonssearchlight.org/research/what-we-study/foxp1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115418/FOXP1-25Q3.pdf
GRIN1,Gene,https://www.simonssearchlight.org/research/what-we-study/grin1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115415/GRIN1-25Q3.pdf
GRIN2A,Gene,https://www.simonssearchlight.org/research/what-we-study/grin2a/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115409/GRIN2A-25Q3.pdf
GRIN2B,Gene,https://www.simonssearchlight.org/research/what-we-study/grin2b/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115400/GRIN2B-25Q3.pdf
HIVEP2,Gene,https://www.simonssearchlight.org/research/what-we-study/hivep2/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115412/HIVEP2-25Q3.pdf
HNRNPH2,Gene,https://www.simonssearchlight.org/research/what-we-study/hnrnph2/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115406/HNRNPH2-25Q3.pdf
IRF2BPL,Gene,https://www.simonssearchlight.org/research/what-we-study/irf2bpl/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115358/IRF2BPL-25Q3.pdf
