org_name,gene,url,country,org_type,natural_history_study,notes
Epilepsy Alliance America,,https://www.epilepsyallianceamerica.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare epilepsy; founded 2018
Ethan’s Reason,,https://ethansreason.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2014
FamilieSCN2A Foundation,SCN2A,https://www.scn2a.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: SCN2A related disorders; founded 2015
ForeBatten Foundation,,https://www.forebatten.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2018
Foundation for Angelman Syndrome Therapeutics (FAST),,https://cureangelman.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Angelman Syndrome; founded 2008
Foundation for Batten Hope,,https://battenhope.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2019
Foundation to Fight H-abc,TUBB4A,https://www.h-abc.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Hypomyelination with atrophy of the basal ganglia and cerebellum (H-ABC) and other TUBB4A-related leukodystrophies; founded 2015
Gene Giraffe Project,GM1,http://www.genegiraffe.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: GM1-Gangliosidosis; founded 2013
Gould Syndrome Foundation (COL4a1/COL4A2),COL4A2,https://gouldsyndromefoundation.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Gould syndrome; founded 2018
GRIN2B Foundation,GRIN2B,https://curegrin.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: GRIN Disorder; founded 2018
"Helping Hands for GAND, Inc.",GATAD2B,https://www.gatad2b.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: GATAD2B-associated neurodevelopmental disorder; founded 2015
Hope for Trisomy 13 & 18,,https://www.hopefortrisomy13and18.org/,United States of America,foundation,yes,"EveryCure RDNP list; focus: Trisomy 13, Trisomy 18, and other rare trisomies and related chromosome disorders; founded 2009"
Hope4tylerandluke - Med 23 gene defect,MED23,http://www.hope4tylerandluke.com/,United States of America,foundation,unknown,EveryCure RDNP list; focus: MED23 gene-diseases; founded 2016
HSAN1E Society,HSAN1E,https://hsan1esociety.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Hereditary Sensory and Autonomic Neuropathy Type 1E; founded 2015
INADcure Foundation,PLA2G6,https://www.inadcure.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: PLA2G6-related neurodegeneration; biobank; founded 2016
International Foundation for CDKL5 Research,CDKL5,https://www.cdkl5.com/,United States of America,foundation,yes,EveryCure RDNP list; focus: CDKL5 Deficiency Disorder; biobank; founded 2009
International FOXG1 Foundation,FOXG1,https://foxg1.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: FOXG1 syndrome; founded 2012
International Rett Syndrome Foundation,,https://www.rettsyndrome.org,United States of America,foundation,yes,EveryCure RDNP list; focus: Rett Syndrome; biobank; founded 1983
IRF2BPL Foundation - IRF2BPL Disorder,IRF2BPL,https://irf2bpl.zohosites.com/,United States of America,foundation,yes,EveryCure RDNP list; focus: IRF2BPL-related disorders; founded 2019
Jain Foundation - Limb Girdle Muscular Dystrophy type 2B/R2/Mioyshi Myopathy/Dysferlinopathy,LGMD2B;LGMDR2;MM1,https://www.jain-foundation.org/,United States of America,foundation,yes,"EveryCure RDNP list; focus: The set of dystrophies called dysferlinopathy, also referred to as LGMD2B, LGMDR2, or Miyoshi Myopathy 1 (MM1).; biobank; founded 2005"
"Jordan's Guardian Angels - Jordan's Syndrome; Genetic misspelling of the genes PPP2R5D, PPP2R1A, PPP2R5C",PPP2R1A;PPP2R5C;PPP2R5D,https://jordansguardianangels.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Jordan's Syndrome; founded 2013
Judson’s Legacy – Krabbe’s Disease,,https://judsonslegacy.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Krabbe and other leukodystrophy diseases; founded 2011
KAT6A Foundation,KAT6A,https://kat6a.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: KAT6a Syndrome; founded 2017
KCNQ2 Cure,KCNQ2,https://www.kcnq2cure.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: KCNQ2-related Epilepsy; founded 2014
KIF1A.ORG,KIF1A,https://www.kif1a.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: KIF1A-Associated Neurological Disorder; biobank; founded 2016
KIF4A Foundation - KIF4A Associated Neurodevelopmental Syndrome (KANS),KIF4A,https://kif4a.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: KIF4A gene mutation disorders; founded 2020
Lightning and Love Foundation - Advocacy and research into THAP12 mutation related disease,THAP12,http://www.lightningandlove.org,United States of America,foundation,unknown,"EveryCure RDNP list; focus: Retinitis Pigmentosa 58, Schimmelpenning-Feuerstein-Mims Syndrome; founded 2020"
Liv4TheCure,,https://www.liv4thecure.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Wolf Hirschhorn Syndrome and other rare chromosomal deletion syndromes; founded 2016
MECP2 Duplication Foundation,MECP2,https://mecp2d.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: MECP2 duplication syndrome; founded 2019
MEPAN.org – MEPAN Syndrome,,https://www.mepan.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Mitochondrial Enoyl CoA Reductase Protein-Associated Neurodegeneration (MEPAN) Syndrome; founded 2019
"Mickie’s Miracles - Infantile Spasms, Pediatric Epilepsy",,https://mickiesmiracles.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare epilepsy; founded 2016
Mission Massimo Foundation – Leukodystrophy,,https://missionmassimo.com/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Leukodystrophies; founded 2013
MitoAction,,https://www.mitoaction.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: There are many different types of Mitochondrial disease; founded 2005
MLD Foundation,,MLD Foundation,United States of America,foundation,yes,EveryCure RDNP list; focus: Metachromatic leukodystrophy; founded 2001
"Mucolipidosis Type IV Foundation, Inc. (ML4Fdn)",ML4,http://ml4.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: ML4 (Mucolipidosis Type IV); biobank; founded 1982
Nathan's Battle Foundation,,https://nathansbattle.com/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Late Infantile Batten disease; founded 2012
"National Tay-Sachs and Allied Diseases Association, Inc.",GM1,https://www.ntsad.org/,United States of America,foundation,yes,"EveryCure RDNP list; focus: Tay-Sachs, Canavan, GM1, Sandhoff, and Farber diseases; biobank; founded 1957"
New Hope Research Foundation,GM1,http://newhoperesearch.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: GM1 gangliosidosis; founded 2006
NGLY1.org,NGLY1,https://www.ngly1.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare Disease NOS; founded 2021
Noah’s Hope-Hope 4 Bridget Foundation – Batten Disease,,https://hope4bridget.com/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2014
NR2F1 Foundation - Bosch Boonstra Schaaf optic atrophy syndrome,NR2F1,https://nr2f1.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Bosch-Boonstra-Schaaf optic atrophy syndrome (BBSOAS); founded 2018
NUBPL Foundation,,http://www.nubpl.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: mitochondrial complex 1 deficiency disorder.; founded 2016
PCDH19 Alliance,PCDH19,https://www.pcdh19info.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: PCDH19 Epilepsy; founded 2011
