gene,gene_family,opathy,basis
SCN3A,Voltage-gated sodium channels (SCN),channelopathy (voltage-gated Na),EpilepsyLive family
SETD1B,,chromatinopathy,editor
SLC25A22,,transporter disorder,editor
SLC35A2,,glycosylation disorder (CDG),editor
SPTAN1,,,
STX1B,,synaptopathy,editor
SZT2,,mTORopathy,editor
UBA5,,,
UNC80,,,
VPS13A,,,
ACTB,,,
ACTL6B,,,
ADCY5,,,
AGO1,,,
AHDC1,,,
ANKRD11,,chromatinopathy,editor
ARG1,,metabolic disorder (urea cycle),editor
ASH1L,,,
ASXL2,,chromatinopathy (ASXL),editor
ASXL3,,chromatinopathy (ASXL),editor
ATN1,,polyglutamine (repeat expansion) disorder,editor
ATP6AP2,v-ATPase (ATP6V/ATP6AP),v-ATPase disorder,EpilepsyLive family
ATP6V0A1,v-ATPase (ATP6V/ATP6AP),v-ATPase disorder,EpilepsyLive family
ATP6V0C,v-ATPase (ATP6V/ATP6AP),v-ATPase disorder,EpilepsyLive family
ATP6V1B2,v-ATPase (ATP6V/ATP6AP),v-ATPase disorder,EpilepsyLive family
AUTS2,,,
CACNA1C,Voltage-gated calcium channels (CACNA),channelopathy (voltage-gated Ca),editor
CAPRIN1,,,
CCM2,,,
CHD3,Chromodomain helicases (CHD),chromatinopathy (CHD),EpilepsyLive family
CIC,,,
CLCN4,Chloride channels (CLCN),channelopathy (Cl),EpilepsyLive family
CNOT3,,,
CREBBP,,,
CRELD1,,,
CUL3,,,
CYFIP2,,,
DHDDS,,,
DYNC1H1,,,
EARS2,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
EIF3F,,,
FAM177A1,,,
FARS2,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
FBXL4,,,
FBXO11,,,
FUCA1,,,
GABRB2,GABA-A receptors (GABR),channelopathy (ligand-gated: GABA-A),EpilepsyLive family
GAMT,,,
GRIA1,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
GRIA2,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
